station_id,station_name_from_path,source_file,observed_hours,valid_ghi_hours,calendar_coverage_pct,ghi_uptime_pct,ghi_valid_when_observed_pct,station_latitude,station_longitude
00326,durham,durham\00326_durham\qc-version-1\midas-open_uk-radiation-obs_dv-202607_durham_00326_durham_qcv-1_2024.csv,8736,8736,99.4535519125683,99.4535519125683,100.0,54.768,-1.586
01023,eskdalemuir,dumfriesshire\01023_eskdalemuir\qc-version-1\midas-open_uk-radiation-obs_dv-202607_dumfriesshire_01023_eskdalemuir_qcv-1_2024.csv,8457,8457,96.27732240437159,96.27732240437159,100.0,55.312,-3.207
00842,hurn,dorset\00842_hurn\qc-version-1\midas-open_uk-radiation-obs_dv-202607_dorset_00842_hurn_qcv-1_2024.csv,8784,8784,100.0,100.0,100.0,50.779,-1.836
62208,exeter-surfacenet-enclosure-aws,devon\62208_exeter-surfacenet-enclosure-aws\qc-version-1\midas-open_uk-radiation-obs_dv-202607_devon_62208_exeter-surfacenet-enclosure-aws_qcv-1_2024.csv,7288,7288,82.96903460837888,82.96903460837888,100.0,50.729,-3.475
62041,exeter-airport-no-2,devon\62041_exeter-airport-no-2\qc-version-1\midas-open_uk-radiation-obs_dv-202607_devon_62041_exeter-airport-no-2_qcv-1_2024.csv,8755,8755,99.66985428051002,99.66985428051002,100.0,50.737,-3.406
01352,north-wyke,devon\01352_north-wyke\qc-version-1\midas-open_uk-radiation-obs_dv-202607_devon_01352_north-wyke_qcv-1_2024.csv,8727,8727,99.35109289617486,99.35109289617486,100.0,50.769,-3.904
01083,shap,cumbria\01083_shap\qc-version-1\midas-open_uk-radiation-obs_dv-202607_cumbria_01083_shap_qcv-1_2024.csv,8729,8729,99.37386156648452,99.37386156648452,100.0,54.502,-2.685
01415,cardinham-bodmin,cornwall\01415_cardinham-bodmin\qc-version-1\midas-open_uk-radiation-obs_dv-202607_cornwall_01415_cardinham-bodmin_qcv-1_2024.csv,8725,8725,99.3283242258652,99.3283242258652,100.0,50.502,-4.667
01395,camborne,cornwall\01395_camborne\qc-version-1\midas-open_uk-radiation-obs_dv-202607_cornwall_01395_camborne_qcv-1_2024.csv,8783,8783,99.98861566484517,99.98861566484517,100.0,50.218,-5.328
01144,hawarden-airport,clwyd\01144_hawarden-airport\qc-version-1\midas-open_uk-radiation-obs_dv-202607_clwyd_01144_hawarden-airport_qcv-1_2024.csv,8713,8713,99.19171220400729,99.19171220400729,100.0,53.175,-2.986
